time,L_hip_pitch_target,R_hip_pitch_target,L_hip_roll_target,R_hip_roll_target,L_hip_yaw_target,R_hip_yaw_target,L_knee_target,R_knee_target,L_foot_pitch_target,R_foot_pitch_target,L_foot_roll_target,R_foot_roll_target,L_hip_pitch_pos,R_hip_pitch_pos,L_hip_roll_pos,R_hip_roll_pos,L_hip_yaw_pos,R_hip_yaw_pos,L_knee_pos,R_knee_pos,L_foot_pitch_pos,R_foot_pitch_pos,L_foot_roll_pos,R_foot_roll_pos,L_hip_pitch_vel,R_hip_pitch_vel,L_hip_roll_vel,R_hip_roll_vel,L_hip_yaw_vel,R_hip_yaw_vel,L_knee_vel,R_knee_vel,L_foot_pitch_vel,R_foot_pitch_vel,L_foot_roll_vel,R_foot_roll_vel,L_hip_pitch_tau,R_hip_pitch_tau,L_hip_roll_tau,R_hip_roll_tau,L_hip_yaw_tau,R_hip_yaw_tau,L_knee_tau,R_knee_tau,L_foot_pitch_tau,R_foot_pitch_tau,L_foot_roll_tau,R_foot_roll_tau
35.28,-0.07999999821186066,-0.14775624871253967,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06595499813556671,-0.07786940038204193,-0.00726826349273324,0.0068312231451272964,0.0755036398768425,-0.075699582695961,0.25283727049827576,0.27076026797294617,-0.17415592074394226,-0.1829344928264618,-0.04443112760782242,0.05154816061258316,-0.5622134208679199,0.3657420575618744,-1.5185132026672363,1.6024450063705444,-20.990100860595703,20.99167823791504,-3.3359856605529785,-2.859365463256836,29.998577117919922,29.998186111450195,-30.0000057220459,30.000003814697266,-4.614963531494141,-11.19871711730957,-10.756245613098145,11.358047485351562,-50.0,50.0,-10.060957908630371,-13.389647483825684,30.0,30.0,-30.0,30.0
35.3,-0.07999999821186066,-0.15090030431747437,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06813158094882965,-0.08044980466365814,0.003115781582891941,-0.004542103037238121,0.2726949155330658,-0.27184686064720154,0.24823592603206635,0.26955699920654297,-0.35310015082359314,-0.3562358617782593,0.15242035686969757,-0.14481286704540253,0.3800191581249237,-0.6667701601982117,1.5710662603378296,-1.6755982637405396,20.98478126525879,-20.98698616027832,3.464517831802368,3.4209704399108887,-30.000011444091797,-30.00002098083496,30.000003814697266,-30.0000057220459,1.1262872219085693,-15.522886276245117,11.17862319946289,-11.645512580871582,49.37964630126953,-49.34911346435547,9.497248649597168,4.841248035430908,-29.873899459838867,-29.610151290893555,30.0,-30.0
35.32,-0.07999999821186066,-0.11898317188024521,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06599299609661102,-0.08915065228939056,-0.007191096898168325,0.007019849959760904,0.07549707591533661,-0.0747869610786438,0.2528535723686218,0.2675049304962158,-0.17402556538581848,-0.17206509411334991,-0.04041334241628647,0.047761041671037674,-0.5635805130004883,0.2422405630350113,-1.5192275047302246,1.623907446861267,-20.9901180267334,20.99170684814453,-3.339362859725952,-3.8168532848358154,29.998781204223633,29.99839210510254,-30.000009536743164,30.000003814697266,-4.606439590454102,-2.6020002365112305,-10.772770881652832,11.708967208862305,-50.0,50.0,-10.076020240783691,-13.783170700073242,30.0,30.0,-30.0,30.0
35.34,-0.07999999821186066,-0.06930594891309738,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06818719208240509,-0.09114827960729599,0.003180120838806033,-0.002923977794125676,0.27268102765083313,-0.2717651128768921,0.24826127290725708,0.24999560415744781,-0.3529721796512604,-0.34551000595092773,0.15639141201972961,-0.14843948185443878,0.37955427169799805,-0.4798443913459778,1.5704634189605713,-1.5220973491668701,20.984792709350586,-20.98511505126953,3.466191291809082,2.7368693351745605,-30.000019073486328,-30.000015258789062,29.999998092651367,-30.000001907348633,1.1420130729675293,1.9974828958511353,11.169376373291016,-11.818970680236816,49.38087844848633,-49.513465881347656,9.50444507598877,8.29967212677002,-29.878013610839844,-29.936439514160156,30.0,-30.0
35.36,-0.07999999821186066,-0.028796806931495667,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06605736911296844,-0.09316089004278183,-0.007143938448280096,0.0077794515527784824,0.07549388706684113,-0.0748191624879837,0.25286412239074707,0.2416711449623108,-0.17394539713859558,-0.1617257446050644,-0.036397356539964676,0.044559188187122345,-0.5639108419418335,0.7010707259178162,-1.5202797651290894,1.471790075302124,-20.990148544311523,20.9891357421875,-3.341317892074585,-3.8895881175994873,29.998979568481445,29.998567581176758,-30.0000057220459,30.0,-4.59340763092041,14.342252731323242,-10.780434608459473,10.41994857788086,-50.0,50.0,-10.085602760314941,-8.209815979003906,30.0,30.0,-30.0,30.0
35.38,-0.07999999821186066,-0.01941424049437046,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06825189292430878,-0.08659165352582932,0.003209248185157776,-0.0017096804222092032,0.2726695239543915,-0.2730622887611389,0.24829435348510742,0.23185372352600098,-0.3528672456741333,-0.34310030937194824,0.16036097705364227,-0.15261459350585938,0.37979528307914734,-0.08418557047843933,1.5697364807128906,-1.4755966663360596,20.98480224609375,-20.983095169067383,3.4679739475250244,3.4059653282165527,-30.000015258789062,-30.000009536743164,30.00000762939453,-30.000003814697266,1.155747413635254,8.717437744140625,11.16772747039795,-10.966936111450195,49.38154602050781,-49.49995803833008,9.508411407470703,13.16795825958252,-29.880617141723633,-30.0,30.0,-30.0
35.4,-0.07999999821186066,-0.04624418914318085,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06611879169940948,-0.0823662206530571,-0.007133488543331623,0.007582725025713444,0.07549510896205902,-0.07580333203077316,0.2528795599937439,0.24130818247795105,-0.17388242483139038,-0.16815496981143951,-0.032382167875766754,0.04048226401209831,-0.563754141330719,0.8761167526245117,-1.521325707435608,1.427706003189087,-20.990150451660156,20.988887786865234,-3.3435869216918945,-2.9158554077148438,29.999202728271484,29.998764038085938,-30.000003814697266,30.000003814697266,-4.5833282470703125,7.809750080108643,-10.780951499938965,9.899120330810547,-50.0,50.0,-10.096905708312988,-6.951565742492676,30.0,30.0,-30.0,30.0
35.42,-0.07999999821186066,-0.09474313259124756,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06830491125583649,-0.07541730999946594,0.0032038455829024315,-0.003342523705214262,0.2726595997810364,-0.2734068036079407,0.2483251988887787,0.2495933473110199,-0.3527660667896271,-0.35548388957977295,0.16433002054691315,-0.15688376128673553,0.380443811416626,-0.22551044821739197,1.5691949129104614,-1.628882884979248,20.984840393066406,-20.984729766845703,3.4695193767547607,4.210066795349121,-30.000019073486328,-30.0000057220459,30.0000057220459,-30.000011444091797,1.1657848358154297,-7.922603130340576,11.172645568847656,-10.644979476928711,49.38133239746094,-49.32206344604492,9.512439727783203,10.312093734741211,-29.88273048400879,-30.0,30.0,-30.0
35.44,-0.07999999821186066,-0.13862161338329315,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06616158783435822,-0.07701552659273148,-0.007151800207793713,0.006661152467131615,0.07549978792667389,-0.07575267553329468,0.2528899610042572,0.2674294412136078,-0.1738194078207016,-0.18116573989391327,-0.02836749516427517,0.0357179157435894,-0.5633015036582947,0.45110079646110535,-1.5220096111297607,1.5775619745254517,-20.990171432495117,20.991413116455078,-3.3458669185638428,-2.76107120513916,29.99940299987793,29.999025344848633,-30.00001335144043,30.0000057220459,-4.578000068664551,-9.910957336425781,-10.776459693908691,11.189393043518066,-50.0,50.0,-10.107093811035156,-12.557003021240234,30.0,30.0,-30.0,30.0
35.46,-0.07999999821186066,-0.15409472584724426,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06833504140377045,-0.07841040194034576,0.0031767955515533686,-0.004838527180254459,0.2726510465145111,-0.27202683687210083,0.24835065007209778,0.2695803940296173,-0.3526638150215149,-0.356833279132843,0.16829894483089447,-0.16061581671237946,0.38128095865249634,-0.6341363787651062,1.569027066230774,-1.689258337020874,20.98485565185547,-20.987010955810547,3.4711132049560547,3.622131586074829,-30.000011444091797,-30.000009536743164,30.0,-30.000009536743164,1.1705458164215088,-16.806411743164062,11.180386543273926,-11.453160285949707,49.380550384521484,-49.3387565612793,9.517407417297363,5.145914077758789,-29.88482093811035,-29.664052963256836,30.0,-30.0
