time,cmd_L_hip_pitch,cmd_R_hip_pitch,cmd_L_hip_roll,cmd_R_hip_roll,cmd_L_hip_yaw,cmd_R_hip_yaw,cmd_L_knee,cmd_R_knee,cmd_L_foot_pitch,cmd_R_foot_pitch,cmd_L_foot_roll,cmd_R_foot_roll,pos_L_hip_pitch,pos_R_hip_pitch,pos_L_hip_roll,pos_R_hip_roll,pos_L_hip_yaw,pos_R_hip_yaw,pos_L_knee,pos_R_knee,pos_L_foot_pitch,pos_R_foot_pitch,pos_L_foot_roll,pos_R_foot_roll,act_L_hip_pitch,act_R_hip_pitch,act_L_hip_roll,act_R_hip_roll,act_L_hip_yaw,act_R_hip_yaw,act_L_knee,act_R_knee,act_L_foot_pitch,act_R_foot_pitch,act_L_foot_roll,act_R_foot_roll
2.82,0.13983620703220367,-0.11206895112991333,-0.03147348389029503,-0.0698951929807663,-0.025757288560271263,0.062073055654764175,0.7208585739135742,0.35241419076919556,-0.022970495745539665,-0.05522547662258148,-0.06834886223077774,0.21468903124332428,0.20263759026298966,-0.04973711694010505,0.001869820992175159,0.0024495669686578373,-0.026420677688850546,0.07924782562511318,0.6766999186880711,0.3697131624594712,-0.19100457215743055,-0.3620506244531989,-0.06068188358993179,0.13663922792694635,0.43967241048812866,-0.384137898683548,-0.06294696778059006,-0.1397903859615326,-0.051514577120542526,0.12414611130952835,0.9417171478271484,0.20482836663722992,0.29405900835990906,0.22954905033111572,-0.27339544892311096,0.8587561249732971
2.84,0.13999433815479279,-0.1119752824306488,-0.03156428784132004,-0.06994152069091797,-0.025840405374765396,0.06202622503042221,0.7209397554397583,0.3523751199245453,-0.023174909874796867,-0.054977014660835266,-0.06834715604782104,0.21472647786140442,0.20264891962314938,-0.049719000373581894,0.0018978920330813623,0.002500572396565676,-0.026420973818396795,0.07920362399554048,0.6767681592240176,0.36964524704477525,-0.19096190240921931,-0.36200999244871346,-0.06079575035942557,0.13672915553085216,0.4399886727333069,-0.3839505612850189,-0.06312857568264008,-0.13988304138183594,-0.05168081074953079,0.12405245006084442,0.9418795108795166,0.20475025475025177,0.29365018010139465,0.23004597425460815,-0.2733886241912842,0.8589059114456177
2.86,0.14005541801452637,-0.11189492046833038,-0.03155549243092537,-0.07006552070379257,-0.02583474852144718,0.061984848231077194,0.7209734320640564,0.35243523120880127,-0.02317189984023571,-0.05487637221813202,-0.06831932067871094,0.21472695469856262,0.20266868085355977,-0.04970543718121113,0.0019309514060430514,0.0025541021024329765,-0.02642454307268584,0.07916957104067726,0.6768439607738109,0.3695696637925347,-0.19091836832829479,-0.3619661124044147,-0.060887773608564726,0.13681515497320787,0.44011083245277405,-0.3837898373603821,-0.06311098486185074,-0.14013104140758514,-0.05166949704289436,0.12396969646215439,0.9419468641281128,0.20487049221992493,0.29365620017051697,0.23024725914001465,-0.27327728271484375,0.8589078187942505
2.88,0.14021211862564087,-0.11166402697563171,-0.0316602922976017,-0.07007959485054016,-0.025928186252713203,0.06195454299449921,0.7210435271263123,0.3523786664009094,-0.0234347116202116,-0.05458039790391922,-0.0682741031050682,0.21469831466674805,0.20267070842407856,-0.04968509214052667,0.001955671439207099,0.0026035916665056408,-0.026455106791060515,0.0791189250502122,0.6769031399248366,0.36951462595589474,-0.19087590612202635,-0.36193688119539824,-0.06098984816728185,0.13689471197094064,0.44042423367500305,-0.38332805037498474,-0.0633205845952034,-0.14015918970108032,-0.05185637250542641,0.12390908598899841,0.9420870542526245,0.20475736260414124,0.2931305766105652,0.23083920776844025,-0.2730964124202728,0.8587932586669922
2.9,0.14019586145877838,-0.11166104674339294,-0.03170575574040413,-0.07006358355283737,-0.025882547721266747,0.06189054250717163,0.7210153341293335,0.3523462414741516,-0.02380932681262493,-0.054290980100631714,-0.06827778369188309,0.21471662819385529,0.20267596589968934,-0.0496416953181003,0.0019784365255365536,0.002653699270088283,-0.026486378613156072,0.07904350243323918,0.6769920615758039,0.3694525129940198,-0.19082887510419927,-0.3619071317145796,-0.0610968737486469,0.13697912612769977,0.4403917193412781,-0.3833220899105072,-0.06341151148080826,-0.14012716710567474,-0.05176509544253349,0.12378108501434326,0.9420307278633118,0.20469246804714203,0.2923813462257385,0.23141804337501526,-0.27311113476753235,0.8588665127754211
2.92,0.14022822678089142,-0.111684650182724,-0.03177043795585632,-0.07003763318061829,-0.025812365114688873,0.06184312701225281,0.721045732498169,0.35228294134140015,-0.024244381114840508,-0.053927384316921234,-0.06827747076749802,0.2147485613822937,0.2026836411064821,-0.049634540729186466,0.002006945056102923,0.002703918092536693,-0.02648146459439793,0.0789942781987426,0.6770476084620803,0.36940723492095084,-0.19078768553712,-0.3618774421950319,-0.061185129959182544,0.13706530953467386,0.44045644998550415,-0.3833692967891693,-0.06354087591171265,-0.14007526636123657,-0.05162473022937775,0.12368625402450562,0.9420914053916931,0.20456591248512268,0.2915112376213074,0.23214523494243622,-0.27310988306999207,0.8589942455291748
2.94,0.14048588275909424,-0.11123552918434143,-0.03194306045770645,-0.07010402530431747,-0.02594958245754242,0.06176570802927017,0.7211627960205078,0.3522033393383026,-0.024793459102511406,-0.05363834649324417,-0.0681963860988617,0.21475088596343994,0.20267791124982665,-0.049593456381246154,0.00203203942850509,0.0027543616897353286,-0.026489377404633817,0.07892611706510283,0.6771194845077466,0.3693484978543619,-0.19074561802418888,-0.3618447395368953,-0.061307988799159566,0.1371419172273709,0.4409717619419098,-0.3824710547924042,-0.0638861209154129,-0.14020805060863495,-0.05189916491508484,0.12353141605854034,0.9423255324363708,0.20440667867660522,0.2904130816459656,0.23272331058979034,-0.2727855443954468,0.8590035438537598
2.96,0.1405612677335739,-0.11128732562065125,-0.03195676580071449,-0.07024180144071579,-0.025943608954548836,0.06172151118516922,0.72117018699646,0.35216593742370605,-0.025070233270525932,-0.05355826020240784,-0.06816454976797104,0.2147885411977768,0.2026758424642811,-0.04956139118965373,0.0020557944063597285,0.002802025515594633,-0.026511546850154916,0.07886580583419626,0.6771789790486111,0.3692842341344731,-0.1907002286806982,-0.361807771521374,-0.06139867800030046,0.13721530576572138,0.44112253189086914,-0.3825746476650238,-0.06391353160142899,-0.14048360288143158,-0.05188721790909767,0.12344302237033844,0.9423404335975647,0.2043318748474121,0.2898595333099365,0.232883483171463,-0.27265819907188416,0.8591541647911072
2.98,0.14063189923763275,-0.11119973659515381,-0.03204634413123131,-0.07018695771694183,-0.02591276727616787,0.061641793698072433,0.7211991548538208,0.35220426321029663,-0.025423167273402214,-0.05306211858987808,-0.0682053491473198,0.21484389901161194,0.20269857179370876,-0.04954847656375229,0.002082892249697527,0.0028540733018066326,-0.02654331795585663,0.07880511275079972,0.6772393592603762,0.3692075295385829,-0.19065724966389186,-0.3617622137288608,-0.06149311820497121,0.1372977453688814,0.4412637948989868,-0.38239946961402893,-0.06409268826246262,-0.14037391543388367,-0.05182553455233574,0.12328358739614487,0.9423983097076416,0.20440854132175446,0.28915366530418396,0.23387576639652252,-0.2728213965892792,0.8593755960464478
3.0,0.140639066696167,-0.11117285490036011,-0.03211883082985878,-0.07025910168886185,-0.025865938514471054,0.061605267226696014,0.721217155456543,0.35224395990371704,-0.02573525719344616,-0.05270201712846756,-0.06820431351661682,0.21485723555088043,0.2027216385136586,-0.0495222994807419,0.0021081917579506507,0.00290292653581368,-0.026540686001558234,0.07872131508435704,0.6773190793891661,0.3691397351256778,-0.19060967608494866,-0.36172994933009905,-0.06157320152541476,0.13738839037679085,0.4412781298160553,-0.38234570622444153,-0.06423766165971756,-0.1405182033777237,-0.05173187702894211,0.12321053445339203,0.9424343705177307,0.20448791980743408,0.28852948546409607,0.23459596931934357,-0.2728172540664673,0.8594289422035217
